symbol,time,open,close,high,low,volume,currency,data_provider
GOOG240202P00105000,2024-01-22 15:00:00,0.02,0.02,0.02,0.02,60,USD,polygon.io
GOOG240202P00105000,2024-01-22 21:00:00,0.02,0.02,0.02,0.02,1,USD,polygon.io
GOOG240202P00105000,2024-01-24 19:00:00,0.01,0.01,0.01,0.01,4,USD,polygon.io
GOOG240202P00105000,2024-01-25 19:00:00,0.01,0.01,0.01,0.01,2,USD,polygon.io
NVDA240202C00070000,2024-01-24 15:00:00,530.4,530.4,530.4,530.4,12,USD,polygon.io
NVDA240202C00070000,2024-01-26 21:00:00,540.55,540.55,540.55,540.55,1,USD,polygon.io
NVDA240202C00070000,2024-01-29 15:00:00,545.95,545.95,545.95,545.95,1,USD,polygon.io
NVDA240202C00080000,2024-01-23 21:00:00,517.0,517.0,517.0,517.0,1,USD,polygon.io
NVDA240202C00080000,2024-01-24 21:00:00,535.9,535.9,535.9,535.9,4,USD,polygon.io
NVDA240202C00110000,2024-01-17 19:00:00,448.15,447.7,448.15,447.7,2,USD,polygon.io
NVDA240202C00110000,2024-01-24 15:00:00,493.43,493.43,493.43,493.43,1,USD,polygon.io
NVDA240202C00110000,2024-01-29 21:00:00,513.85,513.85,513.85,513.85,1,USD,polygon.io
NVDA240202P00090000,2024-01-26 21:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
TSLA240202C00020000,2024-01-10 21:00:00,214.23,214.23,214.23,214.23,4,USD,polygon.io
TSLA240202C00020000,2024-01-16 15:00:00,192.6,192.6,192.6,192.6,1,USD,polygon.io
TSLA240202C00020000,2024-01-17 15:00:00,194.8,194.8,194.8,194.8,1,USD,polygon.io
TSLA240202C00020000,2024-01-19 15:00:00,189.3,189.3,189.3,189.3,4,USD,polygon.io
TSLA240202C00020000,2024-01-19 16:00:00,189.0,189.0,189.0,189.0,1,USD,polygon.io
TSLA240202C00020000,2024-01-19 18:00:00,189.2,189.2,189.2,189.2,1,USD,polygon.io
TSLA240202C00020000,2024-01-19 19:00:00,190.44,190.44,190.44,190.44,3,USD,polygon.io
TSLA240202C00020000,2024-01-22 19:00:00,189.05,189.05,189.05,189.05,7,USD,polygon.io
TSLA240202C00020000,2024-01-29 15:00:00,165.05,165.3,166.25,164.7,17,USD,polygon.io
TSLA240202C00020000,2024-01-29 16:00:00,167.4,168.1,168.1,167.35,8,USD,polygon.io
TSLA240202C00020000,2024-01-29 21:00:00,170.3,170.3,170.3,170.3,1,USD,polygon.io
TSLA240202C00030000,2024-01-23 19:00:00,178.25,178.25,178.25,178.25,5,USD,polygon.io
TSLA240202C00030000,2024-01-24 21:00:00,177.24,177.24,177.24,177.24,44,USD,polygon.io
TSLA240202C00030000,2024-01-29 16:00:00,156.05,157.7,157.7,156.05,3,USD,polygon.io
TSLA240202C00050000,2024-01-16 15:00:00,162.95,162.95,162.95,162.95,3,USD,polygon.io
TSLA240202C00050000,2024-01-17 15:00:00,164.05,164.05,164.05,164.05,3,USD,polygon.io
TSLA240202P00020000,2024-01-16 15:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
TSLA240202P00020000,2024-01-17 15:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
TSLA240202P00020000,2024-01-18 18:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
TSLA240202P00020000,2024-01-18 19:00:00,0.01,0.01,0.01,0.01,4,USD,polygon.io
TSLA240202P00020000,2024-01-24 15:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
TSLA240202P00020000,2024-01-24 16:00:00,0.01,0.01,0.01,0.01,5,USD,polygon.io
TSLA240202P00020000,2024-01-25 15:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
TSLA240202P00020000,2024-01-25 17:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
TSLA240202P00020000,2024-01-26 17:00:00,0.01,0.01,0.01,0.01,3,USD,polygon.io
TSLA240202P00020000,2024-01-29 15:00:00,0.01,0.01,0.01,0.01,90,USD,polygon.io
TSLA240202P00020000,2024-01-29 16:00:00,0.01,0.01,0.01,0.01,90,USD,polygon.io
TSLA240202P00030000,2024-01-17 15:00:00,0.01,0.01,0.01,0.01,8,USD,polygon.io
TSLA240202P00040000,2024-01-25 16:00:00,0.01,0.02,0.02,0.01,30,USD,polygon.io
META240202C00090000,2024-01-16 15:00:00,280.65,280.65,280.65,280.65,1,USD,polygon.io
META240202C00090000,2024-01-29 21:00:00,310.8,310.8,310.8,310.8,1,USD,polygon.io
META240202C00100000,2024-01-23 17:00:00,284.95,284.95,284.95,284.95,2,USD,polygon.io
